28.02,12.85,2,B
36.91,14.82,2,B
28.81,11.9,2,B
35.23,17.06,2,B
30.46,12.23,2,B
25.36,11.79,2,B
31.78,10.95,2,B
34.33,13.48,2,B
26.03,10.77,2,B
32.41,13.24,2,B
27.67,11.7,2,B
34.71,16.34,2,B
31.88,13.43,2,B
31.02,13.59,2,B
35.06,15.68,2,B
27.37,12.12,2,B
29.98,14.78,2,B
30.16,10.64,2,B
33.47,17.26,2,B
29.6,13.29,2,B
29.09,12.21,2,B
32.47,11.31,2,B
37.32,19.17,2,B
28.38,12.67,2,B
31.68,14.95,2,B
27.04,12.89,2,B
31.83,12.39,2,B
31.41,14.66,2,B
40.84,21.31,2,B
30.28,10.95,2,B
36.74,16.76,2,B
27.44,10.72,2,B
30.6,12.29,2,B
27.97,12.04,2,B
35.9,17.36,2,B
34.27,13.85,2,B
33.81,15.82,2,B
27.86,12.2,3,B
26.04,12.41,3,B
30.6,11.58,3,B
30.32,14.19,3,B
36,13.69,3,B
35.18,15.57,3,B
31.36,12.41,3,B
29.37,12.2,3,B
33.17,11.05,3,B
34.29,13.51,3,B
37.41,13.28,3,B
39.53,17.08,3,B
27.42,12.06,3,B
30.36,12.79,3,B
30.13,14.04,3,B
29.08,13.2,3,B
29.39,12.53,3,B
33.65,14.47,3,B
30.43,12.9,3,B
30.76,12.58,3,B
30.97,12.86,3,B
33.7,14.28,3,B
26.92,11.01,3,B
30.51,14.65,3,B
30.61,12.73,3,B
28.87,14.08,3,B
34.37,15.3,3,B
33.73,16.7,3,B
35.37,14.56,3,B
29.97,11.85,3,B
30.5,13.24,3,B
30.32,13.58,3,B
31.44,15.42,3,B
32.55,13.8,3,B
31.51,11.46,3,B
31.08,12.3,3,B
31.94,12.9,3,B
27.77,11.46,3,B
34.87,18.12,3,B
26.49,12.91,3,B
27.98,11.92,3,B
37.41,17.96,3,B
28.31,14.05,3,B
38.14,12.85,3,B
28.64,12.73,3,B
26.85,12.57,4,B
40.74,18.96,4,B
34.06,14.85,4,B
34.8,15.46,4,B
35.45,15.48,4,B
35.23,14.36,4,B
32.28,14.56,4,B
32.06,15.07,4,B
30.4,14.55,4,B
29.49,12.77,4,B
28.98,11.9,4,B
32.31,12.21,4,B
32.79,14.13,4,B
32.67,12.85,4,B
28.74,12.49,4,B
27.28,11.27,4,B
35.92,16.06,4,B
33.55,15.88,4,B
32.48,12.91,4,B
31.89,14.28,4,B
35.39,14.17,4,B
34.93,17.06,4,B
31.38,12.21,4,B
28.25,14.3,4,B
34.45,17.65,4,B
30.72,14.04,4,B
34.26,13.91,4,B
32.04,13.46,4,B
31.3,10.88,4,B
26.18,12.66,4,B
27.53,12.25,4,B
33.61,14.82,4,B
27.81,11.44,4,B
32.1,13.48,4,B
31.1,12.31,4,B
37.24,17.38,4,B
28.11,12.31,4,B
29.84,14.13,4,B
31.28,13.87,4,B
32.74,14.85,4,B
36.49,15.71,4,B
33.18,13.48,4,B
32.14,14.3,4,B
32.42,16.53,4,B
27.94,11.55,4,B
27.97,17.98,1,C
36.46,17,1,C
35.81,16.33,1,C
33.92,15.28,1,C
33.79,16.67,1,C
38.93,16.94,1,C
27.75,15.35,1,C
33.2,14.89,1,C
33.22,17.39,1,C
31.1,13.81,1,C
36.58,17.02,1,C
30.17,15.7,1,C
31.69,15.84,1,C
38.12,17.73,1,C
31.07,14.36,1,C
32.68,14.91,1,C
31.73,16.5,1,C
31.41,14.96,1,C
31.06,16.41,1,C
34.55,23.15,1,C
34.05,17.65,1,C
36.54,17.47,1,C
36.37,14.82,1,C
32.87,15.75,1,C
31.15,14.85,1,C
31.85,14.82,1,C
29.81,14.68,1,C
32.69,17.5,1,C
35.24,17.52,1,C
31.51,14.07,1,C
30.96,14.65,1,C
31.81,15.85,1,C
32.75,15.37,1,C
32.45,16.86,1,C
32.88,16.82,1,C
29.52,15.29,1,C
31.93,15.83,1,C
29.51,18.09,1,C
34.75,16.76,1,C
31.29,13.46,1,C
32.01,14.58,1,C
35.34,17.26,1,C
28.11,13.8,1,C
34.79,16.5,1,C
31.06,15.8,1,C
34.32,19.05,2,C
31.02,17.12,2,C
31.48,16.85,2,C
32.9,19.74,2,C
34.07,18.73,2,C
31.73,17.89,2,C
32.64,15.05,2,C
30.46,15.27,2,C
35.63,16.1,2,C
32.05,16.25,2,C
30.35,16.89,2,C
31.28,17.56,2,C
35.83,18.81,2,C
34.56,16.56,2,C
28.99,16.72,2,C
33.56,18.99,2,C
34.25,19.01,2,C
36.15,19.33,2,C
31.24,14.85,2,C
31.97,15.26,2,C
33.18,16.28,2,C
27.24,16.38,2,C
28.92,14.66,2,C
32.56,16.1,2,C
33.92,18.62,2,C
33.35,18.35,2,C
29.06,17.78,2,C
23.55,14.36,2,C
27.81,15.31,2,C
34.14,14.05,2,C
