gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000195.112,31,85,83,16,7,7,77,66,176,169,173,129
evm.model.tig082700000139.230,73,90,89,36,17,0,119,117,304,309,148,95
evm.model.tig082700000273.44,10,41,0,18,4,0,86,76,138,58,60,72
evm.model.tig082700000075.461,122,50,51,12,5,0,57,46,74,69,56,52
evm.model.tig082700000298.60,62,198,197,49,6,0,109,104,210,237,84,128
evm.model.tig082700000067.43,160,128,122,137,16,0,142,168,577,600,292,258
evm.model.tig082700000196.89,85,53,52,37,21,0,174,183,284,367,181,115
evm.model.tig082700000331.1,109,67,68,10,14,2,61,75,53,185,142,94
evm.model.tig082700000149.56,42,107,108,45,6,0,99,145,108,275,121,80
evm.model.tig082700031386.4,61,33,31,13,7,0,43,55,38,42,61,106
evm.model.tig082700000125.251,30,24,24,15,3,1,40,22,89,157,43,51
evm.model.tig082700000349.25,64,57,57,7,15,0,89,86,198,143,102,99
evm.model.tig082700000215.38,186,373,371,146,4,3,277,278,94,451,486,284
evm.model.tig082700000184.148,315,138,137,16,11,0,81,54,171,117,136,101
evm.model.tig082700000187.111,54,105,104,6,4,0,19,25,157,64,55,27
evm.model.tig082700031374.35,137,67,66,39,2,2,96,121,212,230,184,80
evm.model.tig082700031375.22,72,151,151,24,6,0,66,114,197,239,73,82
evm.model.tig082700000125.44,125,39,38,65,4,0,83,94,231,365,230,65
evm.model.tig082700000163.179,6,13,15,5,7,0,68,80,59,134,41,49
evm.model.tig082700000292.40,46,104,101,9,4,0,57,46,85,114,22,62
evm.model.tig082700000071.507,127,101,102,26,6,0,75,57,52,246,141,34
evm.model.tig082700000272.53,104,77,79,53,5,0,141,150,145,208,134,225
evm.model.tig082700000147.96,68,104,102,26,8,0,67,89,91,262,124,120
evm.model.tig082700000140.111,56,26,28,19,7,0,93,94,104,130,92,145
evm.model.tig082700000219.42,88,204,203,48,2,0,136,103,473,195,160,155
evm.model.tig082700000365.6,56,7,8,4,4,0,56,62,190,100,36,34
evm.model.tig082700000272.42,64,47,48,6,7,0,103,72,387,73,46,125
evm.model.tig082700000113.281,672,160,161,23,5,2,147,224,434,299,96,171
evm.model.tig082700000067.62,31,119,118,18,2,0,48,43,158,84,122,90
evm.model.tig082700000180.152,176,101,100,25,21,0,133,115,467,192,396,297
evm.model.tig082700000187.14,200,145,146,7,0,7,188,153,201,367,204,152
evm.model.tig082700000196.57,58,57,55,9,11,0,135,168,227,190,174,155
evm.model.tig082700000407.16,6,130,126,24,9,0,184,182,334,159,151,323
evm.model.tig082700000435.1,82,25,27,10,3,0,122,95,216,140,68,93
evm.model.tig082700000067.213,111,108,111,20,2,0,180,158,226,57,80,209
evm.model.tig082700000122.130,38,30,28,2,6,0,70,104,109,167,77,48
evm.model.tig082700000116.262,20,126,127,21,3,0,124,110,170,159,130,169
evm.model.tig082700000016.57,41,4,4,6,2,0,47,49,6,72,68,53
evm.model.tig082700002120.252,43,32,30,18,0,0,71,66,20,89,75,112
evm.model.tig082700000071.419,42,52,48,25,0,0,115,115,173,143,144,99
evm.model.tig082700000308.52,106,47,47,11,0,0,47,46,58,78,70,50
evm.model.tig082700000151.131,69,36,38,2,1,2,88,59,57,186,34,43
evm.model.tig082700000096.270,35,69,68,16,0,0,79,91,45,85,68,116
evm.model.tig082700000139.198,28,71,72,14,0,0,62,62,8,229,55,34
evm.model.tig082700000334.59,0,28,27,8,0,0,31,47,106,116,49,31
evm.model.tig082700000120.242,16,69,71,10,0,0,47,66,26,85,84,47
evm.model.tig082700000067.1,182,42,42,4,2,0,56,56,87,174,26,39
evm.model.tig082700000184.67,58,55,54,4,2,0,58,51,202,128,72,29
evm.model.tig082700000067.198,11,57,57,1,4,0,74,74,55,122,36,92
evm.model.tig082700000365.18,22,33,35,1,2,0,66,80,89,38,52,45
evm.model.tig082700000075.540,22,24,24,6,0,0,26,33,114,75,60,43
evm.model.tig082700000185.132,29,95,97,11,0,0,159,117,195,88,92,92
evm.model.tig082700000195.109,890,51,50,21,11,0,37,54,11,82,844,13
evm.model.tig082700000254.71,57,143,141,5,4,0,103,110,278,187,139,70
evm.model.tig082700000127.242,17,14,15,3,0,0,40,33,36,57,18,39
evm.model.tig082700031372.133,7,25,25,5,2,0,48,59,32,118,56,101
evm.model.tig082700000253.77,67,45,48,0,6,0,124,120,222,143,148,76
evm.model.tig082700000253.8,43,11,12,0,2,0,58,41,165,61,28,47
evm.model.tig082700000509.13,14,63,61,1,2,0,90,106,10,161,23,19
evm.model.tig082700000272.66,114,255,253,12,3,0,193,226,797,355,133,124
evm.model.tig082700000122.59,22,5,6,0,2,0,28,21,136,31,57,39
evm.model.tig082700000128.3,22,53,53,3,0,0,27,26,26,39,61,11
evm.model.tig082700000136.300,20,22,20,0,3,0,40,55,53,104,43,70
evm.model.tig082700000127.219,24,22,22,0,2,0,96,86,99,49,26,67
evm.model.tig082700000321.21,34,61,62,0,2,0,61,56,115,74,39,40
evm.model.tig082700000016.339,23,97,98,0,2,0,31,45,148,49,45,56
evm.model.tig082700000106.358,33,137,140,19,0,0,97,64,148,281,148,184
evm.model.tig082700000349.9,32,89,89,0,2,0,68,65,27,65,62,36
evm.model.tig082700000296.58,61,51,53,0,4,0,95,121,477,128,57,129
evm.model.tig082700000128.63,11,11,10,2,0,0,23,24,62,72,31,17
evm.model.tig082700000400.22,42,84,86,5,0,0,70,82,69,60,101,39
evm.model.tig082700000075.158,124,81,83,10,2,0,118,119,184,254,183,154
evm.model.tig082700000149.140,180,59,59,3,0,0,42,47,119,20,38,80
evm.model.tig082700000147.154,38,62,63,4,0,0,48,72,207,48,49,91
evm.model.tig082700000149.39,1130,66,65,3,0,0,19,22,30,58,84,23
evm.model.tig082700000153.86,72,0,161,0,2,1,105,124,316,102,146,78
evm.model.tig082700000075.58,12,11,14,0,1,0,33,51,236,38,31,43
evm.model.tig082700000139.233,92,95,93,6,0,0,195,178,126,175,105,63
evm.model.tig082700000217.28,23,147,147,3,0,0,73,68,98,128,67,38
evm.model.tig082700000195.6,26,23,23,0,0,0,18,25,8,31,23,17
evm.model.tig082700000067.63,20,87,89,4,0,0,76,97,15,49,137,68
evm.model.tig082700000289.29,18,10,10,0,0,0,27,35,22,44,19,14
evm.model.tig082700000238.27,577,61,61,3,0,0,88,88,14,108,85,52
