ko,gene
ko05215,evm.model.tig082700000178.223
ko05210,evm.model.tig082700000178.223
ko04932,evm.model.tig082700000178.223
ko04625,evm.model.tig082700000178.223
ko04218,evm.model.tig082700000178.223
ko05206,evm.model.tig082700000178.223
ko04662,evm.model.tig082700000178.223
ko04725,evm.model.tig082700000178.223
ko04666,evm.model.tig082700000178.223
ko05162,evm.model.tig082700000178.223
ko04722,evm.model.tig082700000178.223
ko04361,evm.model.tig082700000178.223
ko05208,evm.model.tig082700000178.223
ko05165,evm.model.tig082700000178.223
ko00562,evm.model.tig082700000178.223
ko04668,evm.model.tig082700000178.223
ko05223,evm.model.tig082700000178.223
ko04066,evm.model.tig082700000178.223
ko05230,evm.model.tig082700000178.223
ko05100,evm.model.tig082700000178.223
ko04550,evm.model.tig082700000178.223
ko05214,evm.model.tig082700000178.223
ko04910,evm.model.tig082700000178.223
ko05169,evm.model.tig082700000178.223
ko04923,evm.model.tig082700000178.223
ko05010,evm.model.tig082700000178.223
ko04015,evm.model.tig082700000178.223
ko04070,evm.model.tig082700000178.223
ko04933,evm.model.tig082700000178.223
ko01100,evm.model.tig082700000178.223
ko05171,evm.model.tig082700000178.223
ko04062,evm.model.tig082700000178.223
ko04140,evm.model.tig082700000178.223
ko05415,evm.model.tig082700000178.223
ko04360,evm.model.tig082700000178.223
ko05225,evm.model.tig082700000178.223
ko01521,evm.model.tig082700000178.223
ko05170,evm.model.tig082700000178.223
ko04380,evm.model.tig082700000178.223
ko05418,evm.model.tig082700000178.223
ko04960,evm.model.tig082700000178.223
ko05222,evm.model.tig082700000178.223
ko05200,evm.model.tig082700000178.223
ko04150,evm.model.tig082700000178.223
ko04670,evm.model.tig082700000178.223
ko05211,evm.model.tig082700000178.223
ko04917,evm.model.tig082700000178.223
ko05164,evm.model.tig082700000178.223
ko04014,evm.model.tig082700000178.223
ko05168,evm.model.tig082700000178.223
ko05146,evm.model.tig082700000178.223
ko04213,evm.model.tig082700000178.223
ko04510,evm.model.tig082700000178.223
ko05131,evm.model.tig082700000178.223
ko04935,evm.model.tig082700000178.223
ko04212,evm.model.tig082700000178.223
ko05161,evm.model.tig082700000178.223
ko04210,evm.model.tig082700000178.223
ko05166,evm.model.tig082700000178.223
ko05132,evm.model.tig082700000178.223
ko05163,evm.model.tig082700000178.223
ko04024,evm.model.tig082700000178.223
ko04929,evm.model.tig082700000178.223
ko05017,evm.model.tig082700000178.223
ko04650,evm.model.tig082700000178.223
ko01522,evm.model.tig082700000178.223
ko04973,evm.model.tig082700000178.223
ko04931,evm.model.tig082700000178.223
ko05205,evm.model.tig082700000178.223
ko04611,evm.model.tig082700000178.223
ko05136,evm.model.tig082700000178.223
ko04211,evm.model.tig082700000178.223
ko04810,evm.model.tig082700000178.223
ko05224,evm.model.tig082700000178.223
ko04630,evm.model.tig082700000178.223
ko04152,evm.model.tig082700000178.223
ko05417,evm.model.tig082700000178.223
ko04919,evm.model.tig082700000178.223
ko04072,evm.model.tig082700000178.223
ko04012,evm.model.tig082700000178.223
ko05167,evm.model.tig082700000178.223
ko05160,evm.model.tig082700000178.223
ko04914,evm.model.tig082700000178.223
ko04915,evm.model.tig082700000178.223
ko05220,evm.model.tig082700000178.223
ko04071,evm.model.tig082700000178.223
ko05213,evm.model.tig082700000178.223
ko05218,evm.model.tig082700000178.223
ko05231,evm.model.tig082700000178.223
ko04664,evm.model.tig082700000178.223
ko04613,evm.model.tig082700000178.223
ko04151,evm.model.tig082700000178.223
ko05226,evm.model.tig082700000178.223
ko01524,evm.model.tig082700000178.223
ko04750,evm.model.tig082700000178.223
ko04660,evm.model.tig082700000178.223
ko04926,evm.model.tig082700000178.223
ko05142,evm.model.tig082700000178.223
ko05020,evm.model.tig082700000178.223
ko04370,evm.model.tig082700000178.223
ko05212,evm.model.tig082700000178.223
ko05207,evm.model.tig082700000178.223
ko05221,evm.model.tig082700000178.223
ko05203,evm.model.tig082700000178.223
ko05235,evm.model.tig082700000178.223
ko04930,evm.model.tig082700000178.223
ko04620,evm.model.tig082700000178.223
ko04068,evm.model.tig082700000178.223
ko04070,evm.model.tig082700000122.352
ko01100,evm.model.tig082700000122.352
ko05132,evm.model.tig082700000122.352
ko00562,evm.model.tig082700000122.352
ko04066,evm.model.tig082700000136.100
ko01120,evm.model.tig082700000136.100
ko01100,evm.model.tig082700000136.100
ko00710,evm.model.tig082700000136.100
ko01200,evm.model.tig082700000136.100
ko01110,evm.model.tig082700000136.100
ko01230,evm.model.tig082700000136.100
ko00010,evm.model.tig082700000136.100
ko04066,evm.model.tig082700000136.101
ko01120,evm.model.tig082700000136.101
ko01100,evm.model.tig082700000136.101
ko00710,evm.model.tig082700000136.101
ko01200,evm.model.tig082700000136.101
ko01110,evm.model.tig082700000136.101
ko01230,evm.model.tig082700000136.101
ko00010,evm.model.tig082700000136.101
ko00330,evm.model.tig082700000400.23
ko01100,evm.model.tig082700000400.23
ko00330,evm.model.tig082700000016.28
ko01100,evm.model.tig082700000016.28
ko00330,evm.model.tig082700000238.62
ko01100,evm.model.tig082700000238.62
ko00330,evm.model.tig082700000238.63
ko00900,evm.model.tig082700000283.106
ko01110,evm.model.tig082700000283.106
ko01100,evm.model.tig082700000283.106
ko01110,evm.model.tig082700000187.131
ko00230,evm.model.tig082700000187.131
ko01240,evm.model.tig082700000187.131
ko01100,evm.model.tig082700000187.131
ko01232,evm.model.tig082700000187.131
ko00730,evm.model.tig082700000187.131
ko01110,evm.model.tig082700000132.122
ko00230,evm.model.tig082700000132.122
ko01240,evm.model.tig082700000132.122
ko01100,evm.model.tig082700000132.122
ko01232,evm.model.tig082700000132.122
ko00730,evm.model.tig082700000132.122
ko01110,evm.model.tig082700031372.109
ko00230,evm.model.tig082700031372.109
ko01240,evm.model.tig082700031372.109
ko01100,evm.model.tig082700031372.109
ko01232,evm.model.tig082700031372.109
ko00730,evm.model.tig082700031372.109
ko01110,evm.model.tig082700000071.212
ko00230,evm.model.tig082700000071.212
ko01240,evm.model.tig082700000071.212
ko01100,evm.model.tig082700000071.212
ko01232,evm.model.tig082700000071.212
ko00730,evm.model.tig082700000071.212
ko01110,evm.model.tig082700000279.48
ko00230,evm.model.tig082700000279.48
ko01240,evm.model.tig082700000279.48
ko01100,evm.model.tig082700000279.48
ko01232,evm.model.tig082700000279.48
ko00730,evm.model.tig082700000279.48
ko01110,evm.model.tig082700000139.114
ko00230,evm.model.tig082700000139.114
ko01240,evm.model.tig082700000139.114
ko01100,evm.model.tig082700000139.114
ko01232,evm.model.tig082700000139.114
ko00730,evm.model.tig082700000139.114
ko00983,evm.model.tig082700000156.52
ko04016,evm.model.tig082700000156.52
ko00230,evm.model.tig082700000156.52
ko01232,evm.model.tig082700000156.52
ko01100,evm.model.tig082700000156.52
ko00240,evm.model.tig082700000156.52
ko01110,evm.model.tig082700000156.52
ko01240,evm.model.tig082700000156.52
ko00983,evm.model.tig082700000120.306
ko04016,evm.model.tig082700000120.306
ko00230,evm.model.tig082700000120.306
ko01232,evm.model.tig082700000120.306
ko01100,evm.model.tig082700000120.306
ko00240,evm.model.tig082700000120.306
ko01110,evm.model.tig082700000120.306
ko01240,evm.model.tig082700000120.306
ko00983,evm.model.tig082700002117.291
ko04016,evm.model.tig082700002117.291
ko00230,evm.model.tig082700002117.291
ko01232,evm.model.tig082700002117.291
ko01100,evm.model.tig082700002117.291
ko00240,evm.model.tig082700002117.291
ko01110,evm.model.tig082700002117.291
ko01240,evm.model.tig082700002117.291
ko00983,evm.model.tig082700000301.11
ko04016,evm.model.tig082700000301.11
ko00230,evm.model.tig082700000301.11
ko01232,evm.model.tig082700000301.11
ko01100,evm.model.tig082700000301.11
ko00240,evm.model.tig082700000301.11
ko01110,evm.model.tig082700000301.11
ko01240,evm.model.tig082700000301.11
ko00983,evm.model.tig082700000241.54
ko04016,evm.model.tig082700000241.54
ko00230,evm.model.tig082700000241.54
ko01232,evm.model.tig082700000241.54
ko01100,evm.model.tig082700000241.54
ko00240,evm.model.tig082700000241.54
ko01110,evm.model.tig082700000241.54
ko01240,evm.model.tig082700000241.54
ko01100,evm.model.tig082700000308.24
ko00230,evm.model.tig082700000308.24
ko01232,evm.model.tig082700000308.24
ko01100,evm.model.tig082700000377.54
ko00230,evm.model.tig082700000377.54
ko01232,evm.model.tig082700000377.54
ko01100,evm.model.tig082700000369.31
ko00230,evm.model.tig082700000369.31
ko01232,evm.model.tig082700000369.31
ko00240,evm.model.tig082700000132.106
ko01232,evm.model.tig082700000132.106
ko01100,evm.model.tig082700000132.106
ko01200,evm.model.tig082700000411.32
ko01120,evm.model.tig082700000411.32
ko00230,evm.model.tig082700000411.32
ko01230,evm.model.tig082700000411.32
ko00030,evm.model.tig082700000411.32
ko01110,evm.model.tig082700000411.32
ko01100,evm.model.tig082700000411.32
ko01200,evm.model.tig082700000411.33
ko01120,evm.model.tig082700000411.33
ko00230,evm.model.tig082700000411.33
ko01230,evm.model.tig082700000411.33
ko00030,evm.model.tig082700000411.33
ko01110,evm.model.tig082700000411.33
ko01100,evm.model.tig082700000411.33
ko01200,evm.model.tig082700000246.49
ko01120,evm.model.tig082700000246.49
ko00230,evm.model.tig082700000246.49
ko01230,evm.model.tig082700000246.49
ko00030,evm.model.tig082700000246.49
ko01110,evm.model.tig082700000246.49
ko01100,evm.model.tig082700000246.49
ko01240,evm.model.tig082700002120.118
ko01100,evm.model.tig082700002120.118
ko00730,evm.model.tig082700002120.118
ko01100,evm.model.tig082700000321.23
ko00790,evm.model.tig082700000321.23
ko01240,evm.model.tig082700000321.23
ko01240,evm.model.tig082700000163.156
ko01110,evm.model.tig082700000163.156
ko01100,evm.model.tig082700000163.156
ko00740,evm.model.tig082700000163.156
ko03020,evm.model.tig082700000184.75
ko00051,evm.model.tig082700000221.56
ko00520,evm.model.tig082700000221.56
ko01250,evm.model.tig082700000221.56
ko01110,evm.model.tig082700000221.56
ko01240,evm.model.tig082700000221.56
ko01100,evm.model.tig082700000221.56
ko01100,evm.model.tig082700000259.21
ko00564,evm.model.tig082700000259.21
ko00440,evm.model.tig082700000259.21
ko00564,evm.model.tig082700000175.17
ko05231,evm.model.tig082700000175.17
ko01100,evm.model.tig082700000175.17
ko00440,evm.model.tig082700000175.17
ko00564,evm.model.tig082700000132.26
ko05231,evm.model.tig082700000132.26
ko01100,evm.model.tig082700000132.26
ko00440,evm.model.tig082700000132.26
ko01240,evm.model.tig082700000331.10
ko00760,evm.model.tig082700000331.10
ko01100,evm.model.tig082700000331.10
ko01250,evm.model.tig082700000134.44
ko00520,evm.model.tig082700000134.44
ko01100,evm.model.tig082700000134.44
ko01250,evm.model.tig082700000258.98
ko00520,evm.model.tig082700000258.98
ko01100,evm.model.tig082700000258.98
ko01110,evm.model.tig082700000074.81
ko00564,evm.model.tig082700000074.81
ko04070,evm.model.tig082700000074.81
ko01100,evm.model.tig082700000074.81
ko01110,evm.model.tig082700000160.63
ko00564,evm.model.tig082700000160.63
ko04070,evm.model.tig082700000160.63
ko01100,evm.model.tig082700000160.63
ko01110,evm.model.tig082700000132.260
ko00564,evm.model.tig082700000132.260
ko04070,evm.model.tig082700000132.260
ko01100,evm.model.tig082700000132.260
ko01110,evm.model.tig082700000074.80
ko00564,evm.model.tig082700000074.80
ko04070,evm.model.tig082700000074.80
ko01100,evm.model.tig082700000074.80
ko01110,evm.model.tig082700000208.69
ko00564,evm.model.tig082700000208.69
ko04070,evm.model.tig082700000208.69
ko01100,evm.model.tig082700000208.69
ko00230,evm.model.tig082700002120.226
ko01100,evm.model.tig082700002120.226
ko01120,evm.model.tig082700002120.226
ko00920,evm.model.tig082700002120.226
ko00440,evm.model.tig082700000210.103
ko00565,evm.model.tig082700000210.103
ko01110,evm.model.tig082700000210.103
ko00564,evm.model.tig082700000210.103
ko01100,evm.model.tig082700000210.103
ko00440,evm.model.tig082700000246.79
ko00565,evm.model.tig082700000246.79
ko01110,evm.model.tig082700000246.79
ko00564,evm.model.tig082700000246.79
ko01100,evm.model.tig082700000246.79
ko00440,evm.model.tig082700000180.176
ko00565,evm.model.tig082700000180.176
ko01110,evm.model.tig082700000180.176
ko00564,evm.model.tig082700000180.176
ko01100,evm.model.tig082700000180.176
ko00440,evm.model.tig082700000075.613
ko00565,evm.model.tig082700000075.613
ko01110,evm.model.tig082700000075.613
ko00564,evm.model.tig082700000075.613
ko01100,evm.model.tig082700000075.613
ko00440,evm.model.tig082700000147.210
ko00565,evm.model.tig082700000147.210
ko01110,evm.model.tig082700000147.210
ko00564,evm.model.tig082700000147.210
ko01100,evm.model.tig082700000147.210
ko01100,evm.model.tig082700000016.92
ko00564,evm.model.tig082700000016.92
ko01100,evm.model.tig082700000016.91
ko00564,evm.model.tig082700000016.91
ko04070,evm.model.tig082700000287.18
ko00564,evm.model.tig082700000287.18
ko00562,evm.model.tig082700000287.18
ko01100,evm.model.tig082700000287.18
ko01100,evm.model.tig082700002120.35
ko00510,evm.model.tig082700002120.35
ko01100,evm.model.tig082700000206.115
ko00450,evm.model.tig082700000206.115
ko01100,evm.model.tig082700000075.148
ko04122,evm.model.tig082700000075.148
ko01120,evm.model.tig082700000075.148
ko00920,evm.model.tig082700000075.148
ko00270,evm.model.tig082700000075.148
ko01100,evm.model.tig082700000178.213
ko04122,evm.model.tig082700000178.213
ko01120,evm.model.tig082700000178.213
ko00920,evm.model.tig082700000178.213
ko00270,evm.model.tig082700000178.213
ko01100,evm.model.tig082700000075.159
ko04122,evm.model.tig082700000075.159
ko01120,evm.model.tig082700000075.159
ko00920,evm.model.tig082700000075.159
ko00270,evm.model.tig082700000075.159
ko01100,evm.model.tig082700000201.133
ko04122,evm.model.tig082700000201.133
ko01120,evm.model.tig082700000201.133
ko00920,evm.model.tig082700000201.133
ko00270,evm.model.tig082700000201.133
ko00280,evm.model.tig082700000122.89
ko01100,evm.model.tig082700000122.89
ko00650,evm.model.tig082700000122.89
ko00280,evm.model.tig082700000122.90
ko01100,evm.model.tig082700000122.90
ko00650,evm.model.tig082700000122.90
ko00561,evm.model.tig082700000071.256
ko01100,evm.model.tig082700000071.256
ko00564,evm.model.tig082700000128.153
ko00100,evm.model.tig082700000153.203
ko04979,evm.model.tig082700000153.203
ko04142,evm.model.tig082700000153.203
ko00100,evm.model.tig082700000153.216
ko04979,evm.model.tig082700000153.216
ko04142,evm.model.tig082700000153.216
ko00100,evm.model.tig082700000153.208
ko04979,evm.model.tig082700000153.208
ko04142,evm.model.tig082700000153.208
ko01100,evm.model.tig082700000290.19
ko04923,evm.model.tig082700000290.19
ko04714,evm.model.tig082700000290.19
ko04723,evm.model.tig082700000290.19
ko00561,evm.model.tig082700000290.19
ko01100,evm.model.tig082700000147.225
ko04923,evm.model.tig082700000147.225
ko04714,evm.model.tig082700000147.225
ko04723,evm.model.tig082700000147.225
ko00561,evm.model.tig082700000147.225
ko01100,evm.model.tig082700000290.18
ko04923,evm.model.tig082700000290.18
ko04714,evm.model.tig082700000290.18
ko04723,evm.model.tig082700000290.18
ko00561,evm.model.tig082700000290.18
ko01100,evm.model.tig082700000290.16
ko04923,evm.model.tig082700000290.16
ko04714,evm.model.tig082700000290.16
ko04723,evm.model.tig082700000290.16
ko00561,evm.model.tig082700000290.16
ko01100,evm.model.tig082700000369.17
ko04923,evm.model.tig082700000369.17
ko04714,evm.model.tig082700000369.17
ko04723,evm.model.tig082700000369.17
ko00561,evm.model.tig082700000369.17
ko01100,evm.model.tig082700000290.17
ko04923,evm.model.tig082700000290.17
ko04714,evm.model.tig082700000290.17
ko04723,evm.model.tig082700000290.17
ko00561,evm.model.tig082700000290.17
ko01100,evm.model.tig082700002117.531
ko04923,evm.model.tig082700002117.531
ko04714,evm.model.tig082700002117.531
ko04723,evm.model.tig082700002117.531
ko00561,evm.model.tig082700002117.531
ko01100,evm.model.tig082700000178.62
ko00565,evm.model.tig082700000178.62
ko01100,evm.model.tig082700000116.194
ko00565,evm.model.tig082700000116.194
ko01100,evm.model.tig082700000321.40
ko00565,evm.model.tig082700000321.40
ko01100,evm.model.tig082700000185.76
ko01110,evm.model.tig082700000185.76
ko04913,evm.model.tig082700000185.76
ko01040,evm.model.tig082700000185.76
ko00062,evm.model.tig082700000185.76
ko01100,evm.model.tig082700000132.97
ko01110,evm.model.tig082700000132.97
ko04913,evm.model.tig082700000132.97
ko01040,evm.model.tig082700000132.97
ko00062,evm.model.tig082700000132.97
ko01100,evm.model.tig082700000413.23
ko01110,evm.model.tig082700000413.23
ko04913,evm.model.tig082700000413.23
ko01040,evm.model.tig082700000413.23
ko00062,evm.model.tig082700000413.23
ko01100,evm.model.tig082700000132.223
ko01110,evm.model.tig082700000132.223
ko04913,evm.model.tig082700000132.223
ko01040,evm.model.tig082700000132.223
ko00062,evm.model.tig082700000132.223
ko01100,evm.model.tig082700000185.71
ko01110,evm.model.tig082700000185.71
ko04913,evm.model.tig082700000185.71
ko01040,evm.model.tig082700000185.71
ko00062,evm.model.tig082700000185.71
ko01100,evm.model.tig082700000377.12
ko01110,evm.model.tig082700000377.12
ko04913,evm.model.tig082700000377.12
ko01040,evm.model.tig082700000377.12
ko00062,evm.model.tig082700000377.12
ko01100,evm.model.tig082700000016.687
ko01110,evm.model.tig082700000016.687
ko04913,evm.model.tig082700000016.687
ko01040,evm.model.tig082700000016.687
ko00062,evm.model.tig082700000016.687
ko00620,evm.model.tig082700000393.12
ko01100,evm.model.tig082700000393.12
ko00620,evm.model.tig082700000071.505
ko01100,evm.model.tig082700000071.505
ko00620,evm.model.tig082700002115.96
ko01100,evm.model.tig082700002115.96
ko00620,evm.model.tig082700000241.103
ko01100,evm.model.tig082700000241.103
ko00620,evm.model.tig082700000071.504
ko01100,evm.model.tig082700000071.504
ko01100,evm.model.tig082700000128.164
ko01212,evm.model.tig082700000128.164
ko04142,evm.model.tig082700000128.164
ko00062,evm.model.tig082700000128.164
ko01100,evm.model.tig082700000227.70
ko01212,evm.model.tig082700000227.70
ko04142,evm.model.tig082700000227.70
ko00062,evm.model.tig082700000227.70
ko01100,evm.model.tig082700000227.69
ko01212,evm.model.tig082700000227.69
ko04142,evm.model.tig082700000227.69
ko00062,evm.model.tig082700000227.69
ko01100,evm.model.tig082700002120.41
ko02020,evm.model.tig082700002120.41
ko00790,evm.model.tig082700002120.41
ko01240,evm.model.tig082700002120.41
ko00730,evm.model.tig082700002120.41
ko01100,evm.model.tig082700031367.92
ko02020,evm.model.tig082700031367.92
ko00790,evm.model.tig082700031367.92
ko01240,evm.model.tig082700031367.92
ko00730,evm.model.tig082700031367.92
ko01100,evm.model.tig082700000156.88
ko02020,evm.model.tig082700000156.88
ko00790,evm.model.tig082700000156.88
ko01240,evm.model.tig082700000156.88
ko00730,evm.model.tig082700000156.88
ko01100,evm.model.tig082700031367.93
ko02020,evm.model.tig082700031367.93
ko00790,evm.model.tig082700031367.93
ko01240,evm.model.tig082700031367.93
ko00730,evm.model.tig082700031367.93
ko01100,evm.model.tig082700000071.419
ko02020,evm.model.tig082700000071.419
ko00790,evm.model.tig082700000071.419
ko01240,evm.model.tig082700000071.419
ko00730,evm.model.tig082700000071.419
ko01100,evm.model.tig082700000020.399
ko02020,evm.model.tig082700000020.399
ko00790,evm.model.tig082700000020.399
ko01240,evm.model.tig082700000020.399
ko00730,evm.model.tig082700000020.399
ko01100,evm.model.tig082700002120.43
ko02020,evm.model.tig082700002120.43
ko00790,evm.model.tig082700002120.43
ko01240,evm.model.tig082700002120.43
ko00730,evm.model.tig082700002120.43
ko01100,evm.model.tig082700000219.88
ko02020,evm.model.tig082700000219.88
ko00790,evm.model.tig082700000219.88
ko01240,evm.model.tig082700000219.88
ko00730,evm.model.tig082700000219.88
ko01100,evm.model.tig082700000156.89
ko02020,evm.model.tig082700000156.89
ko00790,evm.model.tig082700000156.89
ko01240,evm.model.tig082700000156.89
ko00730,evm.model.tig082700000156.89
ko01100,evm.model.tig082700000169.127
ko02020,evm.model.tig082700000169.127
ko00790,evm.model.tig082700000169.127
ko01240,evm.model.tig082700000169.127
ko00730,evm.model.tig082700000169.127
ko01100,evm.model.tig082700000071.420
ko02020,evm.model.tig082700000071.420
ko00790,evm.model.tig082700000071.420
ko01240,evm.model.tig082700000071.420
ko00730,evm.model.tig082700000071.420
ko01100,evm.model.tig082700000219.89
ko02020,evm.model.tig082700000219.89
ko00790,evm.model.tig082700000219.89
ko01240,evm.model.tig082700000219.89
ko00730,evm.model.tig082700000219.89
ko01100,evm.model.tig082700000096.373
ko02020,evm.model.tig082700000096.373
ko00790,evm.model.tig082700000096.373
ko01240,evm.model.tig082700000096.373
ko00730,evm.model.tig082700000096.373
ko01100,evm.model.tig082700000075.163
ko02020,evm.model.tig082700000075.163
ko00790,evm.model.tig082700000075.163
ko01240,evm.model.tig082700000075.163
ko00730,evm.model.tig082700000075.163
ko01100,evm.model.tig082700000308.31
ko02020,evm.model.tig082700000308.31
ko00790,evm.model.tig082700000308.31
ko01240,evm.model.tig082700000308.31
ko00730,evm.model.tig082700000308.31
ko01100,evm.model.tig082700000156.87
ko02020,evm.model.tig082700000156.87
ko00790,evm.model.tig082700000156.87
ko01240,evm.model.tig082700000156.87
ko00730,evm.model.tig082700000156.87
ko01100,evm.model.tig082700000156.120
ko02020,evm.model.tig082700000156.120
ko00790,evm.model.tig082700000156.120
ko01240,evm.model.tig082700000156.120
ko00730,evm.model.tig082700000156.120
ko01100,evm.model.tig082700000096.231
ko02020,evm.model.tig082700000096.231
ko00790,evm.model.tig082700000096.231
ko01240,evm.model.tig082700000096.231
ko00730,evm.model.tig082700000096.231
ko01100,evm.model.tig082700000020.400
ko02020,evm.model.tig082700000020.400
ko00790,evm.model.tig082700000020.400
ko01240,evm.model.tig082700000020.400
ko00730,evm.model.tig082700000020.400
ko01100,evm.model.tig082700031367.91
ko02020,evm.model.tig082700031367.91
ko00790,evm.model.tig082700031367.91
ko01240,evm.model.tig082700031367.91
ko00730,evm.model.tig082700031367.91
ko00740,evm.model.tig082700000075.162
ko01100,evm.model.tig082700000075.162
ko00730,evm.model.tig082700000075.162
ko00740,evm.model.tig082700000273.61
ko01100,evm.model.tig082700000273.61
ko00730,evm.model.tig082700000273.61
ko00740,evm.model.tig082700000151.201
ko01100,evm.model.tig082700000151.201
ko00730,evm.model.tig082700000151.201
ko00740,evm.model.tig082700000167.16
ko01100,evm.model.tig082700000167.16
ko00730,evm.model.tig082700000167.16
ko00740,evm.model.tig082700000075.22
ko01100,evm.model.tig082700000075.22
ko00730,evm.model.tig082700000075.22
ko00740,evm.model.tig082700000167.19
ko01100,evm.model.tig082700000167.19
ko00730,evm.model.tig082700000167.19
ko01110,evm.model.tig082700000016.447
ko00680,evm.model.tig082700000016.447
ko00260,evm.model.tig082700000016.447
ko01120,evm.model.tig082700000016.447
ko01200,evm.model.tig082700000016.447
ko01230,evm.model.tig082700000016.447
ko01100,evm.model.tig082700000016.447
ko00240,evm.model.tig082700000151.260
ko01110,evm.model.tig082700000151.260
ko01232,evm.model.tig082700000151.260
ko00760,evm.model.tig082700000151.260
ko00230,evm.model.tig082700000151.260
ko01100,evm.model.tig082700000151.260
ko00240,evm.model.tig082700002118.60
ko01110,evm.model.tig082700002118.60
ko01232,evm.model.tig082700002118.60
ko00760,evm.model.tig082700002118.60
ko00230,evm.model.tig082700002118.60
ko01100,evm.model.tig082700002118.60
ko00240,evm.model.tig082700000208.71
ko01110,evm.model.tig082700000208.71
ko01232,evm.model.tig082700000208.71
ko00760,evm.model.tig082700000208.71
ko00230,evm.model.tig082700000208.71
ko01100,evm.model.tig082700000208.71
ko01120,evm.model.tig082700000187.77
ko01100,evm.model.tig082700000187.77
ko00920,evm.model.tig082700000187.77
ko01120,evm.model.tig082700000187.78
ko01100,evm.model.tig082700000187.78
ko00920,evm.model.tig082700000187.78
ko01100,evm.model.tig082700002117.94
ko00710,evm.model.tig082700002117.94
ko01120,evm.model.tig082700002117.94
ko01200,evm.model.tig082700002117.94
ko01120,evm.model.tig082700000180.180
ko00627,evm.model.tig082700000180.180
ko00051,evm.model.tig082700000127.6
ko01100,evm.model.tig082700000127.6
ko04066,evm.model.tig082700000127.6
ko04152,evm.model.tig082700000127.6
ko01100,evm.model.tig082700000140.242
ko04910,evm.model.tig082700000140.242
ko00562,evm.model.tig082700000140.242
ko04070,evm.model.tig082700000140.242
ko01100,evm.model.tig082700000185.19
ko05415,evm.model.tig082700000185.19
ko05166,evm.model.tig082700000185.19
ko05206,evm.model.tig082700000185.19
ko04150,evm.model.tig082700000185.19
ko04140,evm.model.tig082700000185.19
ko05235,evm.model.tig082700000185.19
ko04510,evm.model.tig082700000185.19
ko04070,evm.model.tig082700000185.19
ko01521,evm.model.tig082700000185.19
ko04115,evm.model.tig082700000185.19
ko05222,evm.model.tig082700000185.19
ko05165,evm.model.tig082700000185.19
ko05215,evm.model.tig082700000185.19
ko04931,evm.model.tig082700000185.19
ko04071,evm.model.tig082700000185.19
ko05200,evm.model.tig082700000185.19
ko00562,evm.model.tig082700000185.19
ko05230,evm.model.tig082700000185.19
ko05218,evm.model.tig082700000185.19
ko05213,evm.model.tig082700000185.19
ko05225,evm.model.tig082700000185.19
ko04068,evm.model.tig082700000185.19
ko04218,evm.model.tig082700000185.19
ko05224,evm.model.tig082700000185.19
ko04151,evm.model.tig082700000185.19
ko04361,evm.model.tig082700000185.19
ko05208,evm.model.tig082700000185.19
ko05214,evm.model.tig082700000185.19
ko04212,evm.model.tig082700000185.19
ko01100,evm.model.tig082700000074.87
ko05415,evm.model.tig082700000074.87
ko05166,evm.model.tig082700000074.87
ko05206,evm.model.tig082700000074.87
ko04150,evm.model.tig082700000074.87
ko04140,evm.model.tig082700000074.87
ko05235,evm.model.tig082700000074.87
ko04510,evm.model.tig082700000074.87
ko04070,evm.model.tig082700000074.87
ko01521,evm.model.tig082700000074.87
ko04115,evm.model.tig082700000074.87
ko05222,evm.model.tig082700000074.87
ko05165,evm.model.tig082700000074.87
ko05215,evm.model.tig082700000074.87
ko04931,evm.model.tig082700000074.87
ko04071,evm.model.tig082700000074.87
ko05200,evm.model.tig082700000074.87
ko00562,evm.model.tig082700000074.87
ko05230,evm.model.tig082700000074.87
ko05218,evm.model.tig082700000074.87
ko05213,evm.model.tig082700000074.87
ko05225,evm.model.tig082700000074.87
ko04068,evm.model.tig082700000074.87
ko04218,evm.model.tig082700000074.87
ko05224,evm.model.tig082700000074.87
ko04151,evm.model.tig082700000074.87
ko04361,evm.model.tig082700000074.87
ko05208,evm.model.tig082700000074.87
ko05214,evm.model.tig082700000074.87
ko04212,evm.model.tig082700000074.87
ko01100,evm.model.tig082700002117.549
ko05415,evm.model.tig082700002117.549
ko05166,evm.model.tig082700002117.549
ko05206,evm.model.tig082700002117.549
ko04150,evm.model.tig082700002117.549
ko04140,evm.model.tig082700002117.549
ko05235,evm.model.tig082700002117.549
ko04510,evm.model.tig082700002117.549
ko04070,evm.model.tig082700002117.549
ko01521,evm.model.tig082700002117.549
ko04115,evm.model.tig082700002117.549
ko05222,evm.model.tig082700002117.549
ko05165,evm.model.tig082700002117.549
ko05215,evm.model.tig082700002117.549
ko04931,evm.model.tig082700002117.549
ko04071,evm.model.tig082700002117.549
ko05200,evm.model.tig082700002117.549
ko00562,evm.model.tig082700002117.549
ko05230,evm.model.tig082700002117.549
ko05218,evm.model.tig082700002117.549
ko05213,evm.model.tig082700002117.549
ko05225,evm.model.tig082700002117.549
ko04068,evm.model.tig082700002117.549
ko04218,evm.model.tig082700002117.549
ko05224,evm.model.tig082700002117.549
ko04151,evm.model.tig082700002117.549
ko04361,evm.model.tig082700002117.549
ko05208,evm.model.tig082700002117.549
ko05214,evm.model.tig082700002117.549
ko04212,evm.model.tig082700002117.549
ko01100,evm.model.tig082700000246.47
ko01240,evm.model.tig082700000246.47
