,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
evm.model.tig082700000435.1,38.86076774,4.532545593,0.87376169,5.187393367,2.13E-07,3.49E-05
evm.model.tig082700000067.213,52.27859525,4.586161436,1.260109221,3.63949518,0.000273173,0.011499784
evm.model.tig082700000122.130,35.50617755,4.587748782,1.191037495,3.851892824,0.000117208,0.006012878
evm.model.tig082700000116.262,62.83992111,4.589809478,0.939124262,4.887329254,1.02E-06,0.000133343
evm.model.tig082700000016.57,25.9868792,4.60880366,1.004232088,4.589380998,4.45E-06,0.000468398
evm.model.tig082700002120.252,38.3807931,4.608828911,1.466869793,3.141948205,0.001678277,0.044266849
evm.model.tig082700000071.419,52.08641357,4.635207501,1.458633242,3.177774485,0.001484101,0.040261544
evm.model.tig082700000308.52,26.29342194,4.659117472,1.432616928,3.252172568,0.001145265,0.033424164
evm.model.tig082700000151.131,30.16152288,4.674713232,1.272806727,3.672759684,0.000239945,0.010382219
evm.model.tig082700000096.270,37.46107553,4.722385021,1.462865778,3.228173829,0.001245832,0.035843434
evm.model.tig082700000139.198,35.06726038,4.816434481,1.532098644,3.143684318,0.001668353,0.044132081
evm.model.tig082700000334.59,23.23860235,4.861439353,1.451684982,3.348825272,0.00081155,0.026551549
evm.model.tig082700000120.242,28.50115131,4.890417295,1.420183439,3.443511001,0.000574213,0.020415118
evm.model.tig082700000067.1,26.27885719,4.976018489,1.225068226,4.061829686,4.87E-05,0.003078008
evm.model.tig082700000184.67,27.60852704,5.035205848,1.111185607,4.531381451,5.86E-06,0.00057821
evm.model.tig082700000067.198,31.81586003,5.081009226,1.30641118,3.889287923,0.000100539,0.005372343
evm.model.tig082700000365.18,18.91895162,5.14239572,1.321634447,3.890936507,9.99E-05,0.005351302
evm.model.tig082700000075.540,23.05008914,5.152506874,1.374213002,3.749423754,0.000177241,0.008410622
evm.model.tig082700000185.132,37.2206288,5.154697436,1.379803967,3.735818681,0.000187105,0.008679925
evm.model.tig082700000195.109,141.4630779,5.187587399,1.642166477,3.15898995,0.001583169,0.042420299
evm.model.tig082700000254.71,50.03873946,5.220390756,0.918664365,5.682587631,1.33E-08,2.88E-06
evm.model.tig082700000127.242,14.21557537,5.232370745,1.543809546,3.389259225,0.000700817,0.023768832
evm.model.tig082700031372.133,35.81936334,5.233271535,0.995481114,5.257027443,1.46E-07,2.57E-05
evm.model.tig082700000253.77,48.51227457,5.24658749,1.58830044,3.303271445,0.000955638,0.029360296
evm.model.tig082700000253.8,17.55616938,5.286024485,1.588161647,3.328391979,0.000873489,0.027423722
evm.model.tig082700000509.13,21.27918583,5.29099132,1.484667217,3.563755743,0.000365586,0.014455936
evm.model.tig082700000272.66,72.91620212,5.296315164,0.839096545,6.311925839,2.76E-10,8.43E-08
evm.model.tig082700000122.59,18.03561705,5.302821107,1.663397506,3.187945809,0.001432874,0.039478051
evm.model.tig082700000128.3,14.70687256,5.310521819,1.711361823,3.103097047,0.001915068,0.048524604
evm.model.tig082700000136.300,27.51642165,5.402527352,1.53664974,3.515783208,0.000438459,0.016653399
evm.model.tig082700000127.219,19.37180023,5.413349146,1.645746313,3.289297447,0.001004378,0.030605636
evm.model.tig082700000321.21,19.27038171,5.443786922,1.527306747,3.5643049,0.000364822,0.014455936
evm.model.tig082700000016.339,20.51337297,5.522696047,1.560792556,3.538392098,0.000402572,0.015479507
evm.model.tig082700000106.358,78.07514147,5.542645988,1.308803976,4.234893911,2.29E-05,0.001722575
evm.model.tig082700000349.9,21.33713614,5.590578362,1.533484384,3.645670228,0.000266696,0.011278027
evm.model.tig082700000296.58,41.37154185,5.599350816,1.552827507,3.605906509,0.000311065,0.012834189
evm.model.tig082700000128.63,13.95502731,5.603652228,1.569771104,3.569725685,0.000357355,0.014211842
evm.model.tig082700000400.22,27.25764276,5.622994943,1.454116194,3.866950226,0.000110205,0.005753524
evm.model.tig082700000075.158,76.01211346,5.678726159,0.832010127,6.825308943,8.77E-12,3.90E-09
evm.model.tig082700000149.140,20.50717337,5.788963834,1.678004639,3.449909315,0.000560775,0.020150079
evm.model.tig082700000147.154,26.48746248,5.822780424,1.46220119,3.982201946,6.83E-05,0.003966818
evm.model.tig082700000149.39,21.80720508,5.854830559,1.536519348,3.810450267,0.000138714,0.00686174
evm.model.tig082700000153.86,44.74981863,5.92623833,1.388115397,4.269269215,1.96E-05,0.001524523
evm.model.tig082700000075.58,15.13842991,5.967349229,1.568692718,3.804026857,0.000142363,0.007005073
evm.model.tig082700000139.233,41.96457087,5.990146133,1.255397114,4.771514978,1.83E-06,0.000217555
evm.model.tig082700000217.28,27.82054284,6.168520028,1.342201703,4.595821934,4.31E-06,0.000461988
evm.model.tig082700000195.6,8.961798565,6.27966604,1.959279513,3.205089421,0.001350205,0.037921654
evm.model.tig082700000067.63,36.31460335,6.285189973,1.472225289,4.26917675,1.96E-05,0.001524523
evm.model.tig082700000289.29,9.02872874,6.291869796,1.981621955,3.175111065,0.001497792,0.040540371
evm.model.tig082700000238.27,31.01628475,6.310949476,1.286765524,4.904506189,9.37E-07,0.000124765
evm.model.tig082700000251.51,9.235957846,6.320399567,2.002783906,3.155807048,0.001600547,0.042640859
evm.model.tig082700000212.123,9.504028516,6.360304613,2.031687139,3.13055317,0.001744774,0.045557113
evm.model.tig082700000020.462,9.76852317,6.40360981,1.945874669,3.290864469,0.0009988,0.030535451
evm.model.tig082700000136.58,10.02100445,6.441875415,1.928500279,3.34035493,0.000836714,0.026993653
evm.model.tig082700000020.571,10.09062221,6.451614509,1.908427936,3.380591107,0.000723301,0.024340474
evm.model.tig082700002117.581,32.49196226,6.460345929,1.472773346,4.386517414,1.15E-05,0.001008446
evm.model.tig082700000111.142,10.40217932,6.495719672,1.896731895,3.424690485,0.0006155,0.021495249
evm.model.tig082700000210.95,10.47520924,6.502801099,1.967987198,3.304290346,0.000952172,0.029302061
evm.model.tig082700000206.110,51.72896995,6.510022379,1.293200279,5.034040346,4.80E-07,7.00E-05
evm.model.tig082700000277.30,84.92338908,6.522744709,1.529143213,4.265620548,1.99E-05,0.001542584
evm.model.tig082700000240.41,10.91650108,6.561188269,1.990600003,3.296085732,0.000980421,0.030022774
evm.model.tig082700000016.335,11.0815068,6.588471943,1.989650543,3.31137142,0.000928399,0.028665086
evm.model.tig082700000210.90,11.65984925,6.657510939,1.949945733,3.414203188,0.000639689,0.022173886
evm.model.tig082700000122.107,11.66130956,6.662784298,1.841844856,3.617451425,0.000297518,0.012357274
evm.model.tig082700000411.1,11.83346732,6.685461518,1.876360975,3.562993265,0.00036665,0.014455936
evm.model.tig082700000067.324,11.94852337,6.69896776,1.814172365,3.692575131,0.000221995,0.009787186
evm.model.tig082700000128.16,12.09796197,6.716724265,1.919187584,3.499774759,0.000465651,0.0175433
evm.model.tig082700000120.201,12.33148624,6.74106484,1.876073405,3.59317755,0.00032667,0.013359793
evm.model.tig082700000016.678,12.97967949,6.811683457,1.988164225,3.426117105,0.000612276,0.021463048
evm.model.tig082700000075.145,13.07197185,6.825235174,2.007666186,3.399586655,0.000674878,0.023167631
evm.model.tig082700000071.331,13.12350989,6.834130101,1.808258421,3.779399018,0.000157207,0.00761496
evm.model.tig082700000328.2,13.76367381,6.901156521,1.87495881,3.680697668,0.000232597,0.010134802
evm.model.tig082700000162.33,13.78119278,6.906466663,1.771281198,3.899136213,9.65E-05,0.005203204
evm.model.tig082700000156.233,13.82986826,6.912702641,1.769762278,3.906006319,9.38E-05,0.005101782
evm.model.tig082700000122.243,13.97046148,6.915966667,2.108355153,3.280266447,0.001037091,0.031326692
evm.model.tig082700000212.65,14.44203253,6.971128772,1.812044521,3.847106785,0.000119521,0.006056916
evm.model.tig082700000075.496,14.58777581,6.977172689,2.104948821,3.314651939,0.000917573,0.02856731
evm.model.tig082700000196.60,14.65874014,6.993094089,1.805697212,3.872794422,0.000107595,0.005682553
evm.model.tig082700000167.25,14.95291985,7.018039176,1.971071594,3.560519667,0.000370122,0.014500835
evm.model.tig082700000303.36,15.05499058,7.034237407,1.844747856,3.813115914,0.000137226,0.006806176
evm.model.tig082700000217.66,15.11973585,7.041812873,1.759831843,4.001412352,6.30E-05,0.003763602
evm.model.tig082700000253.34,15.20673101,7.048296072,1.750834423,4.02567826,5.68E-05,0.003466712
evm.model.tig082700000174.171,15.52510131,7.078917045,1.757575725,4.027659773,5.63E-05,0.00345588
evm.model.tig082700000016.598,15.72711911,7.100018292,1.693693661,4.192032157,2.76E-05,0.001983011
evm.model.tig082700000158.44,15.82893452,7.109563747,1.715735865,4.143740242,3.42E-05,0.002285169
evm.model.tig082700000075.249,16.19172425,7.130778266,1.987423013,3.587951946,0.000333286,0.013541274
evm.model.tig082700000096.248,16.16872751,7.133717448,1.849179253,3.857774976,0.000114424,0.005894728
evm.model.tig082700000020.526,16.22082629,7.140767836,1.755474753,4.067713207,4.75E-05,0.003021831
evm.model.tig082700000020.71,28.76708346,7.166906683,1.346689749,5.321869191,1.03E-07,1.86E-05
evm.model.tig082700000153.283,16.85240014,7.189809743,1.931739045,3.721936336,0.000197701,0.008905613
