GO:0005634,Cellular Component,nucleus,evm.model.tig082700000016.17
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.17
GO:0005829,Cellular Component,cytosol,evm.model.tig082700000016.17
GO:0033588,Cellular Component,elongator holoenzyme complex,evm.model.tig082700000016.17
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.171
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.171
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.173
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.173
GO:0005576,Cellular Component,extracellular region,evm.model.tig082700000016.179
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.179
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.18
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.18
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.186
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.186
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.186
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.186
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.186
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.186
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.186
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.187
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.187
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.195
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.197
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.197
GO:0019867,Cellular Component,outer membrane,evm.model.tig082700000016.197
GO:0005576,Cellular Component,extracellular region,evm.model.tig082700000016.198
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.198
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.198
GO:0005891,Cellular Component,voltage-gated calcium channel complex,evm.model.tig082700000016.200
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.200
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.200
GO:0016529,Cellular Component,sarcoplasmic reticulum,evm.model.tig082700000016.200
GO:0030315,Cellular Component,T-tubule,evm.model.tig082700000016.200
GO:1990454,Cellular Component,L-type voltage-gated calcium channel complex,evm.model.tig082700000016.200
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.201
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.201
GO:0000922,Cellular Component,spindle pole,evm.model.tig082700000016.202
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.202
GO:0005819,Cellular Component,spindle,evm.model.tig082700000016.202
GO:0005856,Cellular Component,cytoskeleton,evm.model.tig082700000016.202
GO:0005874,Cellular Component,microtubule,evm.model.tig082700000016.202
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.202
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.202
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.203
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.203
GO:0000776,Cellular Component,kinetochore,evm.model.tig082700000016.21
GO:0000940,Cellular Component,outer kinetochore,evm.model.tig082700000016.21
GO:0005634,Cellular Component,nucleus,evm.model.tig082700000016.21
GO:0005737,Cellular Component,cytoplasm,evm.model.tig082700000016.21
GO:0005813,Cellular Component,centrosome,evm.model.tig082700000016.21
GO:0016020,Cellular Component,membrane,evm.model.tig082700000016.21
GO:0016021,Cellular Component,integral component of membrane,evm.model.tig082700000016.21
GO:0045335,Cellular Component,phagocytic vesicle,evm.model.tig082700000016.21
