"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","RF1","RF2","RF3","RC1","RC2","RC3"
"13402","evm.model.tig082700000096.362",326.0244,-0.1801862,0.5001647,-0.3602536,0.7186575,0.9558541,214.1629,376.1975,327.9224,229.7055,406.3011,401.8569
"13403","evm.model.tig082700000120.47",83.5538,0.5702845,1.58316,0.3602192,0.7186832,0.9558541,162.2545,0,137.4151,61.10392,70.26937,70.2799
"13404","evm.model.tig082700000162.32",1014.926,0.136469,0.3787293,0.3603338,0.7185975,0.9558541,1164.185,1083.336,940.0442,716.2737,1094.581,1091.14
"13405","evm.model.tig082700000163.81",231.4896,0.1598854,0.4443073,0.3598532,0.7189569,0.9558541,260.1949,162.1703,312.307,226.3108,213.5108,214.4438
"13406","evm.model.tig082700000174.132",84.00625,0.2915989,0.8105632,0.3597485,0.7190352,0.9558541,47.99078,44.31399,187.3842,97.31364,63.96315,63.0717
"13407","evm.model.tig082700000225.79",242.2543,0.2885296,0.8015708,0.3599552,0.7188806,0.9558541,153.4399,494.9966,149.9074,372.2813,140.5387,142.3618
"13408","evm.model.tig082700000227.5",266.2672,-0.1808834,0.5024941,-0.3599712,0.7188687,0.9558541,312.7562,292.2837,140.5382,321.3613,264.8615,265.8022
"13409","evm.model.tig082700000287.21",52.95843,-0.5657346,1.571851,-0.3599162,0.7189098,0.9558541,68.88473,0,59.33834,116.5501,36.93647,36.04097
"13410","evm.model.tig082700000289.34",49.84802,0.2801887,0.7779902,0.3601442,0.7187393,0.9558541,94.34922,49.02824,18.73842,53.18304,40.54002,43.24917
"13411","evm.model.tig082700000338.22",272.9001,0.2882605,0.8011733,0.359798,0.7189982,0.9558541,215.4688,90.51367,596.5064,228.5739,253.1499,253.1878
"13412","evm.model.tig082700000016.77",149.1268,-0.3239384,0.9013725,-0.3593835,0.7193082,0.9560478,236.0363,84.85657,74.95369,334.94,81.98093,81.99322
"13413","evm.model.tig082700000016.88",321.6989,0.2123283,0.5911223,0.3591953,0.719449,0.9560478,395.3526,478.9682,159.2766,363.2288,263.9606,269.4063
"13414","evm.model.tig082700000016.331",201.1389,-0.3471302,0.966073,-0.3593209,0.7193551,0.9560478,36.5644,381.8546,112.4305,341.7293,168.4663,165.7885
