gene_id,RC1,RC2,RC3,RF1,RF2,RF3,RM1,RM2,RM3,RS1,RS2,RS3
evm.model.tig082700000094.11,51,65,63,443,10,11,0,0,245,0,0,0
evm.model.tig082700000128.197,67,0,0,86,152,4,0,0,0,0,0,0
evm.model.tig082700000258.64,54,142,141,170,135,0,0,0,323,0,0,0
evm.model.tig082700000611.4,0,58,58,256,87,0,0,0,86,0,0,0
evm.model.tig082700000212.82,77,0,61,399,8,7,0,92,265,0,0,0
evm.model.tig082700000283.9,0,23,23,264,57,0,0,0,0,0,0,0
evm.model.tig082700000195.133,83,124,0,228,64,0,0,0,425,0,0,0
evm.model.tig082700000113.40,21,20,20,76,52,13,0,0,101,0,0,0
evm.model.tig082700000071.488,1005,123,107,5037,21224,19812,1431,1356,101,278,131,90
evm.model.tig082700000127.160,16068,194,191,2288,35022,29695,259,258,416,194,390,178
evm.model.tig082700002117.291,233,101,100,4105,17630,9463,1551,1544,404,86,71,138
evm.model.tig082700000128.51,2135,4929,4956,2399,2265,4556,67,48,111,55,35,45
evm.model.tig082700000127.77,19614,478,474,6520,33915,15590,918,943,514,200,374,70
evm.model.tig082700000221.39,7804,304,302,976,12829,12948,489,496,96,92,271,67
evm.model.tig082700000153.307,16414,65,64,167,19762,5757,1342,1242,153,48,180,71
evm.model.tig082700000120.214,9277,215,214,315,10053,15425,548,592,203,376,127,95
evm.model.tig082700000155.26,5330,147,145,7959,16399,14076,705,804,186,169,311,86
evm.model.tig082700000132.120,21593,50,50,3246,7906,7498,57,39,282,104,78,135
evm.model.tig082700000125.250,47,118,120,458,5090,15839,210,139,269,103,354,71
evm.model.tig082700000075.117,10207,140,140,492,9709,23966,222,197,244,169,541,114
evm.model.tig082700000127.154,9702,7,7,1089,7889,4002,248,255,414,121,79,46
evm.model.tig082700000071.192,16881,210,207,16219,12619,23556,1808,1880,249,278,278,452
evm.model.tig082700000427.5,160,66,65,81,3715,4280,155,148,271,88,71,50
evm.model.tig082700000258.86,343,154,150,488,10506,9260,274,339,393,79,161,188
evm.model.tig082700000175.205,16590,81,80,1191,6182,7891,3540,3554,297,233,66,134
evm.model.tig082700000125.264,3475,14,14,293,6310,2433,1015,1036,252,60,61,65
evm.model.tig082700000174.196,6564,214,216,301,4655,7605,155,120,343,149,110,141
evm.model.tig082700000071.474,3337,105,106,5511,6884,4229,1635,1682,68,32,217,42
evm.model.tig082700000377.53,20341,119,119,64,8644,11006,409,336,258,227,373,65
evm.model.tig082700000253.54,931,118,119,159,3609,14501,176,184,197,426,190,220
evm.model.tig082700000160.175,0,5,7,128,903,2964,592,480,56,62,20,84
evm.model.tig082700000287.13,33,71,71,196,6380,7802,147,125,55,167,237,100
evm.model.tig082700000381.16,62,108,108,645,12225,6870,4906,4691,382,194,181,184
evm.model.tig082700000128.133,360,128,127,56,712,1847,53,85,13,48,33,33
evm.model.tig082700000187.92,237,31,31,90,790,972,13,18,4,22,29,14
evm.model.tig082700000106.130,98,4,4,373,3573,3056,72,51,223,50,65,104
evm.model.tig082700000020.606,7430,92,92,286,3170,5725,316,302,198,106,253,23
evm.model.tig082700000185.42,43,52,51,142,778,2333,90,88,104,64,67,31
evm.model.tig082700031372.165,5906,55,54,21,4223,3683,78,53,339,121,62,125
evm.model.tig082700000195.68,107,0,36,103,659,1923,0,102,103,52,56,29
evm.model.tig082700000149.67,171,49,51,198,1056,4828,128,128,483,121,93,114
evm.model.tig082700000167.44,83,90,93,244,4053,6872,381,348,281,362,90,138
evm.model.tig082700000139.164,19037,159,158,896,11511,7984,2407,2304,338,285,314,151
evm.model.tig082700000111.262,53,45,43,125,1371,1858,1283,1328,139,70,53,31
